,location,date,new_cases,new_deaths,new_tests,new_vaccinations,population,total_cases,total_deaths,total_tests,total_vaccinations
0,Africa,2020-02-13,0.0,0.0,0.0,0.0,1340598113.0,0.0,0.0,0.0,0.0
1,Africa,2020-02-14,1.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
2,Africa,2020-02-15,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
3,Africa,2020-02-16,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
4,Africa,2020-02-17,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
5,Africa,2020-02-18,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
6,Africa,2020-02-19,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
7,Africa,2020-02-20,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
8,Africa,2020-02-21,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
9,Africa,2020-02-22,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
10,Africa,2020-02-23,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
11,Africa,2020-02-24,0.0,0.0,0.0,0.0,1340598113.0,1.0,0.0,0.0,0.0
12,Africa,2020-02-25,1.0,0.0,0.0,0.0,1340598113.0,2.0,0.0,0.0,0.0
13,Africa,2020-02-26,0.0,0.0,0.0,0.0,1340598113.0,2.0,0.0,0.0,0.0
14,Africa,2020-02-27,0.0,0.0,0.0,0.0,1340598113.0,2.0,0.0,0.0,0.0
15,Africa,2020-02-28,1.0,0.0,0.0,0.0,1340598113.0,3.0,0.0,0.0,0.0
16,Africa,2020-02-29,0.0,0.0,0.0,0.0,1340598113.0,3.0,0.0,0.0,0.0
17,Africa,2020-03-01,1.0,0.0,0.0,0.0,1340598113.0,4.0,0.0,0.0,0.0
18,Africa,2020-03-02,4.0,0.0,0.0,0.0,1340598113.0,8.0,0.0,0.0,0.0
19,Africa,2020-03-03,3.0,0.0,0.0,0.0,1340598113.0,11.0,0.0,0.0,0.0
20,Africa,2020-03-04,10.0,0.0,0.0,0.0,1340598113.0,21.0,0.0,0.0,0.0
21,Africa,2020-03-05,3.0,0.0,0.0,0.0,1340598113.0,24.0,0.0,0.0,0.0
22,Africa,2020-03-06,19.0,0.0,0.0,0.0,1340598113.0,43.0,0.0,0.0,0.0
23,Africa,2020-03-07,0.0,0.0,0.0,0.0,1340598113.0,43.0,0.0,0.0,0.0
24,Africa,2020-03-08,40.0,1.0,0.0,0.0,1340598113.0,83.0,1.0,0.0,0.0
25,Africa,2020-03-09,8.0,0.0,0.0,0.0,1340598113.0,91.0,1.0,0.0,0.0
26,Africa,2020-03-10,13.0,1.0,0.0,0.0,1340598113.0,104.0,2.0,0.0,0.0
27,Africa,2020-03-11,14.0,0.0,0.0,0.0,1340598113.0,118.0,2.0,0.0,0.0
28,Africa,2020-03-12,16.0,1.0,0.0,0.0,1340598113.0,134.0,3.0,0.0,0.0
29,Africa,2020-03-13,42.0,3.0,0.0,0.0,1340598113.0,176.0,6.0,0.0,0.0
30,Africa,2020-03-14,78.0,1.0,0.0,0.0,1340598113.0,254.0,7.0,0.0,0.0
31,Africa,2020-03-15,59.0,1.0,0.0,0.0,1340598113.0,313.0,8.0,0.0,0.0
32,Africa,2020-03-16,87.0,0.0,0.0,0.0,1340598113.0,400.0,8.0,0.0,0.0
33,Africa,2020-03-17,84.0,3.0,0.0,0.0,1340598113.0,484.0,11.0,0.0,0.0
34,Africa,2020-03-18,116.0,6.0,0.0,0.0,1340598113.0,600.0,17.0,0.0,0.0
35,Africa,2020-03-19,180.0,3.0,0.0,0.0,1340598113.0,780.0,20.0,0.0,0.0
36,Africa,2020-03-20,188.0,6.0,0.0,0.0,1340598113.0,968.0,26.0,0.0,0.0
37,Africa,2020-03-21,204.0,10.0,0.0,0.0,1340598113.0,1172.0,36.0,0.0,0.0
38,Africa,2020-03-22,265.0,12.0,0.0,0.0,1340598113.0,1437.0,48.0,0.0,0.0
39,Africa,2020-03-23,381.0,9.0,0.0,0.0,1340598113.0,1818.0,57.0,0.0,0.0
40,Africa,2020-03-24,432.0,7.0,0.0,0.0,1340598113.0,2250.0,64.0,0.0,0.0
41,Africa,2020-03-25,523.0,9.0,0.0,0.0,1340598113.0,2773.0,73.0,0.0,0.0
42,Africa,2020-03-26,553.0,18.0,0.0,0.0,1340598113.0,3326.0,91.0,0.0,0.0
43,Africa,2020-03-27,559.0,24.0,0.0,0.0,1340598113.0,3885.0,115.0,0.0,0.0
44,Africa,2020-03-28,340.0,19.0,0.0,0.0,1340598113.0,4225.0,134.0,0.0,0.0
45,Africa,2020-03-29,560.0,18.0,0.0,0.0,1340598113.0,4785.0,152.0,0.0,0.0
46,Africa,2020-03-30,411.0,21.0,0.0,0.0,1340598113.0,5196.0,173.0,0.0,0.0
47,Africa,2020-03-31,585.0,27.0,0.0,0.0,1340598113.0,5781.0,200.0,0.0,0.0
48,Africa,2020-04-01,599.0,34.0,0.0,0.0,1340598113.0,6380.0,234.0,0.0,0.0
49,Africa,2020-04-02,651.0,53.0,0.0,0.0,1340598113.0,7031.0,287.0,0.0,0.0
50,Africa,2020-04-03,882.0,44.0,0.0,0.0,1340598113.0,7913.0,331.0,0.0,0.0
51,Africa,2020-04-04,679.0,52.0,0.0,0.0,1340598113.0,8592.0,383.0,0.0,0.0
52,Africa,2020-04-05,706.0,61.0,0.0,0.0,1340598113.0,9298.0,444.0,0.0,0.0
53,Africa,2020-04-06,701.0,43.0,0.0,0.0,1340598113.0,9999.0,487.0,0.0,0.0
54,Africa,2020-04-07,633.0,46.0,0.0,0.0,1340598113.0,10632.0,533.0,0.0,0.0
55,Africa,2020-04-08,804.0,41.0,0.0,0.0,1340598113.0,11436.0,574.0,0.0,0.0
56,Africa,2020-04-09,812.0,53.0,0.0,0.0,1340598113.0,12248.0,627.0,0.0,0.0
57,Africa,2020-04-10,663.0,66.0,0.0,0.0,1340598113.0,12911.0,693.0,0.0,0.0
